Wall time,Step,Value
1682341990.1333075,181,-212.8800048828125
1682341990.2632618,182,-171.57000732421875
1682341990.4124713,183,-173.13999938964844
1682341990.551679,184,-149.47999572753906
1682341990.680463,185,-169.14999389648438
1682341990.814705,186,-175.39999389648438
1682341990.9580636,187,-182.50999450683594
1682341991.364832,190,-165.9499969482422
1682341991.506609,191,-195.22000122070312
1682341991.7314148,192,-185.97000122070312
1682341991.8599043,193,-166.99000549316406
1682341992.256954,196,-217.63999938964844
1682341992.6701958,199,-181.5500030517578
1682341992.8175657,200,-222.16000366210938
1682341992.9615479,201,-223.97999572753906
1682341993.2275755,203,-204.19000244140625
1682341993.367352,204,-214.8800048828125
1682341993.5041006,205,-226.69000244140625
1682341993.6426647,206,-204.3800048828125
1682341993.9197166,208,-162.77000427246094
1682341994.1854885,210,-211.4199981689453
1682341994.4662814,212,-207.4199981689453
1682341994.7261791,214,-172.89999389648438
1682341994.9928164,216,-212.52000427246094
1682341995.1246054,217,-190.63999938964844
1682341995.408305,219,-175.47999572753906
1682341995.5387077,220,-235.41000366210938
1682341995.6701972,221,-173.3000030517578
1682341995.807611,222,-178.57000732421875
1682341995.9375894,223,-182.7100067138672
1682341996.2008176,225,-200.2100067138672
1682341996.3322265,226,-162.72999572753906
1682341996.4707544,227,-188.16000366210938
1682341996.8672066,230,-204.16000366210938
1682341997.25606,233,-180.5500030517578
1682341997.5270908,235,-208.74000549316406
1682341997.6584156,236,-177.80999755859375
1682341997.7882884,237,-151.6300048828125
1682341997.921414,238,-180.1199951171875
1682341998.0579553,239,-192.30999755859375
1682341998.1846933,240,-163.17999267578125
1682341998.471086,242,-210.82000732421875
1682341998.600374,243,-193.3699951171875
1682341998.8802948,245,-173.17999267578125
1682341999.009907,246,-142.69000244140625
1682341999.1430683,247,-177.0800018310547
1682341999.279422,248,-166.02000427246094
1682341999.549339,250,-172.4600067138672
1682341999.9564493,253,-175.1699981689453
1682342000.0961998,254,-150.49000549316406
1682342000.2246141,255,-178.75999450683594
1682342000.6466193,258,-167.32000732421875
1682342000.7801664,259,-154.6300048828125
1682342000.9268644,260,-186.02999877929688
1682342001.0610402,261,-165.1199951171875
1682342001.3110352,263,-146.9199981689453
1682342001.4405825,264,-191.72000122070312
1682342002.1133063,269,-197.22999572753906
1682342002.3761232,271,-211.05999755859375
1682342002.530578,272,-213.10000610351562
1682342002.9329317,275,-202.24000549316406
1682342003.0723572,276,-197.0399932861328
1682342003.1993542,277,-206.4499969482422
1682342003.4653893,279,-168.9600067138672
1682342003.7338862,281,-176.4199981689453
1682342003.9932363,283,-204.1999969482422
1682342004.1334724,284,-155.3300018310547
1682342004.2630856,285,-165.67999267578125
1682342004.4048066,286,-164.1199951171875
1682342004.6736646,288,-219.67999267578125
1682342004.8079767,289,-202.47000122070312
1682342005.084258,291,-238.4600067138672
1682342005.2298915,292,-196.8000030517578
1682342005.7922618,296,-206.19000244140625
1682342005.939233,297,-196.8300018310547
1682342006.0660472,298,-208.6300048828125
1682342006.1995757,299,-170.8800048828125
1682342006.3361716,300,-207.3000030517578
1682342007.0333984,305,-193.6999969482422
1682342007.160691,306,-197.5
1682342007.2886405,307,-184.55999755859375
1682342007.4235835,308,-188.63999938964844
1682342007.5686986,309,-188.77000427246094
1682342007.698911,310,-180.24000549316406
1682342008.1075017,313,-249.08999633789062
1682342008.2727187,314,-186.0800018310547
1682342008.405849,315,-166.3300018310547
1682342008.544069,316,-195.97999572753906
1682342008.6734736,317,-192.00999450683594
1682342008.9435441,319,-200.22999572753906
1682342009.0748525,320,-162.4499969482422
1682342009.4855025,323,-203.25999450683594
1682342009.7532816,325,-179.4199981689453
1682342010.4338677,330,-192.47000122070312
1682342010.5911448,331,-202.94000244140625
1682342010.7386005,332,-224.1999969482422
1682342010.8633037,333,-184.1199951171875
1682342010.9955213,334,-183.22999572753906
1682342011.5720582,338,-228.3300018310547
1682342011.711297,339,-147.38999938964844
1682342011.9762697,341,-169.07000732421875
1682342012.389886,344,-217.72999572753906
1682342012.5198731,345,-220.25
1682342012.6579256,346,-171.97999572753906
1682342012.785715,347,-219.0500030517578
1682342013.047228,349,-146.3000030517578
1682342013.181309,350,-172.69000244140625
1682342013.3095214,351,-184.02999877929688
1682342013.5848348,353,-158.07000732421875
1682342013.7278666,354,-163.58999633789062
1682342013.854012,355,-167.52000427246094
1682342013.9897122,356,-176.44000244140625
1682342014.258123,358,-165.47000122070312
1682342014.3893392,359,-161.61000061035156
1682342014.6621134,361,-159.94000244140625
1682342014.7975957,362,-163.82000732421875
1682342014.930227,363,-171.94000244140625
1682342015.0609975,364,-179.07000732421875
1682342015.191259,365,-170.86000061035156
1682342015.3432565,366,-188.88999938964844
1682342015.5525732,367,-159.8300018310547
1682342015.6840553,368,-176.49000549316406
1682342015.8168762,369,-165.27999877929688
1682342015.9512496,370,-146.00999450683594
1682342016.6178517,375,-217.5800018310547
1682342016.752316,376,-183.6999969482422
1682342017.0187647,378,-185.2100067138672
1682342017.1529262,379,-150.72999572753906
1682342017.6820729,383,-166.9600067138672
1682342017.9406981,385,-175.8300018310547
1682342018.074712,386,-151.1199951171875
1682342018.2208488,387,-219.3800048828125
1682342018.634814,390,-167.88999938964844
1682342018.7650273,391,-201.8300018310547
1682342018.8993106,392,-174.3300018310547
1682342019.034395,393,-148.52000427246094
1682342019.163405,394,-223.69000244140625
1682342019.298297,395,-166.25
1682342019.4287722,396,-183.19000244140625
1682342019.5734644,397,-183.08999633789062
1682342019.711522,398,-203.74000549316406
1682342019.8448281,399,-179.0399932861328
1682342019.9735696,400,-171.82000732421875
1682342020.1270156,401,-145.8300018310547
1682342020.260366,402,-175.02000427246094
1682342020.3943696,403,-175.1300048828125
